   节点编号          X坐标          Y坐标          Z坐标          接触状态          接触压力          接触间隙
    6403.0      167.80900       14.68138       -0.01849            3.0       19.15983        0.00005
    6405.0      174.38388       15.25661       -0.02645            3.0       31.16214        0.00010
    6406.0      167.80285       15.17457       -0.01851            3.0       19.22066        0.00005
    6407.0      167.87027       15.66315       -0.01862            3.0       19.38798        0.00005
    6408.0      168.00977       16.13624       -0.01875            3.0       19.64042        0.00006
    6409.0      168.21821       16.58324       -0.01897            3.0       19.98540        0.00006
    6410.0      168.49095       16.99419       -0.01926            3.0       20.46235        0.00006
    6411.0      168.82189       17.35990       -0.01957            3.0       21.01130        0.00006
    6412.0      169.20364       17.67220       -0.01995            3.0       21.65336        0.00006
    6413.0      169.62767       17.92412       -0.02037            3.0       22.39734        0.00007
    6414.0      170.08451       18.11002       -0.02086            3.0       23.19411        0.00007
    6415.0      170.56396       18.22576       -0.02137            3.0       23.60944        0.00008
    6416.0      171.05530       18.26874       -0.02195            3.0       23.90348        0.00010
    6417.0      171.54756       18.23802       -0.02253            3.0       26.01901        0.00008
    6418.0      172.02974       18.13427       -0.02314            3.0       26.76276        0.00008
    6419.0      172.49108       17.95981       -0.02376            3.0       27.65880        0.00009
    6420.0      172.92126       17.71855       -0.02437            3.0       28.50099        0.00009
    6421.0      173.31068       17.41586       -0.02496            3.0       29.27527        0.00009
    6422.0      173.65063       17.05852       -0.02540            3.0       29.89918        0.00010
    6423.0      173.93353       16.65450       -0.02585            3.0       30.44779        0.00010
    6424.0      174.15305       16.21283       -0.02617            3.0       30.83788        0.00010
    6425.0      174.30430       15.74337       -0.02639            3.0       31.08367        0.00010
    8778.0      167.88858       14.19463       -0.01850            3.0       19.21051        0.00005
    8779.0      168.03982       13.72517       -0.01863            3.0       19.37512        0.00006
    8780.0      168.25935       13.28350       -0.01876            3.0       19.62824        0.00006
    8781.0      168.54225       12.87948       -0.01897            3.0       19.98983        0.00006
    8782.0      168.88220       12.52213       -0.01926            3.0       20.45831        0.00006
    8783.0      169.27162       12.21945       -0.01957            3.0       21.01143        0.00006
    8784.0      169.70180       11.97818       -0.01996            3.0       21.64743        0.00006
    8785.0      170.16313       11.80373       -0.02039            3.0       22.55037        0.00006
    8786.0      170.64532       11.69998       -0.02087            3.0       22.58821        0.00009
    8787.0      171.13758       11.66926       -0.02137            3.0       23.96326        0.00007
    8788.0      171.62892       11.71224       -0.02195            3.0       23.94208        0.00009
